Name,Primary Field / Focus,Core Motivation / Conflict,Top 3 Character Traits (Simple),Famous Quote,Color
Snow White,Domestic/Kindness,Escaping Evil/Seeking Safety,Gentle / Sweet / Nurturing,"Remember you're the one who can fill the world with sunshine.",#FADADD
Cinderella,Hope/Resilience,Escaping Oppression/Finding Freedom,Hopeful / Kind / Patient,"Have courage and be kind. Where there is kindness there is goodness.",#FADADD
Aurora,Grace/Destiny,Overcoming a Curse/Seeking True Love,Graceful / Dreamy / Elegant,"If you dream a thing more than once it's sure to come true.",#FADADD
Ariel,Exploration/Change,Desiring the Human World,Curious / Rebellious / Adventurous,"Who says that my dreams have to stay just my dreams?",#FADADD
Belle,Knowledge/Compassion,Sacrificing for Family/Challenging Appearances,Smart / Independent / Kind,"I want adventure in the great wide somewhere. I want it more than I can tell!",#FADADD
Jasmine,Independence/Royalty,Challenging Traditional Rules/Seeking Freedom,Fierce / Rebellious / Independent,"All of you standing around deciding my future? I am not a prize to be won!",#FADADD
Pocahontas,Nature/Harmony,Seeking Cultural Understanding/Peace,Free-Spirited / Wise / Brave,"If you walk the footsteps of a stranger you'll learn things you never knew you never knew.",#FADADD
Mulan,Courage/Honor,Defending Family/Breaking Gender Roles,Brave / Loyal / Strategic,"The flower that blooms in adversity is the most rare and beautiful of all.",#FADADD
Rapunzel,Freedom/Curiosity,Escaping Confinement/Discovering Self,Creative / Bright / Hopeful,"Venture outside your comfort zone. The rewards are worth it.",#FADADD
Tiana,Ambition/Hard Work,Chasing Dreams/Overcoming Limitations,Determined / Practical / Optimistic,"The only way to get what you want in this world is through hard work.",#FADADD
Elsa,Self-Acceptance/Control,Learning to Embrace Her Power,Strong / Reserved / Loving,"Let it go. The past is in the past.",#FADADD
Anna,Love/Optimism,Reconnecting Family/Bravery Through Hope,Cheerful / Brave / Loyal,"Some people are worth melting for.",#FADADD
Moana,Exploration/Leadership,Restoring Balance/Following Her Calling,Adventurous / Bold / Compassionate,"The call isn't out there at all. It's inside me.",#FADADD
Merida,Freedom/Identity,Challenging Tradition/Choosing Her Own Path,Wild / Fearless / Rebellious,"Our fate lives within us. You only have to be brave enough to see it.",#FADADD
Megara,Independence/Redemption,Learning to Trust Again,Witty / Guarded / Compassionate,"People do crazy things when they're in love.",#FADADD
Esmeralda,Justice/Empathy,Protecting the Oppressed/Defying Corruption,Fiery / Kind / Defiant,"You speak of justice yet you are cruel to those most in need of your help.",#FADADD
Jane Porter,Knowledge/Exploration,Bridging Two Worlds,Curious / Intellectual / Warm,"I was saved by a wild man in a loincloth.",#FADADD
Giselle,Love/Naïveté,Learning Real-World Love,Innocent / Romantic / Optimistic,"Dreams do come true if you keep on believing.",#FADADD
Vanellope von Schweetz,Self-Belief/Friendship,Proving Herself/Overcoming Rejection,Funny / Energetic / Resilient,"I'm not a glitch Taffyta. I'm just me.",#FADADD
Mirabel Madrigal,Family/Identity,Finding Self-Worth Without a Gift,Empathetic / Hopeful / Insightful,"Even if you lose everything — the miracle is you.",#FADADD
Raya,Trust/Unity,Restoring Peace/Healing Division,Determined / Loyal / Brave,"The world’s broken. You can’t trust anyone.",#FADADD
Vanessa Ives (Penny Dreadful),Faith/Power,Struggling with Inner Demons,Complex / Strong / Tragic,"There is some thing within us all we must master or be mastered by.",#FADADD
Hermione Granger,Knowledge/Justice,Fighting for Equality/Using Intellect,Brilliant / Loyal / Brave,"Books and cleverness! There are more important things — friendship and bravery.",#FADADD
Katniss Everdeen,Survival/Resistance,Protecting Loved Ones/Defying Tyranny,Strong / Stoic / Selfless,"Fire is catching. And if we burn you burn with us.",#FADADD
Daenerys Targaryen,Power/Justice,Ending Oppression/Claiming Destiny,Idealistic / Fierce / Determined,"I am not a queen. I am a Khaleesi.",#FADADD
Sansa Stark,Wisdom/Endurance,Learning Strength from Pain,Poised / Patient / Intelligent,"The lone wolf dies but the pack survives.",#FADADD
Arya Stark,Freedom/Vengeance,Defying Expectations/Seeking Identity,Fearless / Independent / Quick,"A girl has no name.",#FADADD
Eowyn (LOTR),Courage/Equality,Proving Her Strength in a Man’s World,Brave / Defiant / Loyal,"I am no man!",#FADADD
Padmé Amidala,Leadership/Peace,Protecting Democracy/Personal Loss,Graceful / Strong / Diplomatic,"So this is how liberty dies — with thunderous applause.",#FADADD
Leia Organa,Rebellion/Hope,Leading with Compassion under War,Commanding / Brave / Principled,"Hope is like the sun. If you only believe in it when you see it you'll never make it through the night.",#FADADD
Rey,Discovery/Legacy,Finding Purpose/Accepting Power,Driven / Curious / Compassionate,"I need someone to show me my place in all this.",#FADADD
Wanda Maximoff,Identity/Control,Struggling Between Love and Power,Emotional / Powerful / Tragic,"I have everything under control.",#FADADD
Natasha Romanoff,Redemption/Justice,Making Amends for Past Actions,Skilled / Loyal / Resolute,"At some point we all have to choose between what the world wants you to be and who you are.",#FADADD
Gamora,Family/Morality,Escaping Her Past/Seeking Redemption,Fierce / Honest / Compassionate,"I’m the warrior you trained me to be.",#FADADD
Harley Quinn,Freedom/Chaos,Escaping Toxic Love/Embracing Independence,Wild / Playful / Unpredictable,"I’m not someone who’s loved. I’m an idea.",#FADADD
Wonder Woman,Justice/Peace,Ending War/Believing in Humanity,Brave / Noble / Empathetic,"Only love can truly save the world.",#FADADD
Black Widow (Yelena),Sisterhood/Identity,Forging New Purpose,Humorous / Tough / Realistic,"We're both doing great. We're both killers.",#FADADD
Lois Lane,Truth/Integrity,Uncovering Corruption/Seeking Justice,Smart / Brave / Unyielding,"You’re Superman’s weakness — but he’s mine too.",#FADADD
Wednesday Addams,Individuality/Expression,Embracing Uniqueness/Dark Humor,Dark / Clever / Independent,"I’m not perky.",#FADADD
Coraline Jones,Courage/Curiosity,Escaping Illusion/Discovering Reality,Brave / Stubborn / Imaginative,"When you’re scared but you still do it anyway — that’s brave.",#FADADD
Alice (Wonderland),Imagination/Discovery,Navigating the Absurd/Finding Herself,Curious / Dreamy / Open-Minded,"Curiouser and curiouser!",#FADADD
Dorothy Gale,Hope/Homecoming,Returning Home/Understanding Value of Home,Kind / Curious / Brave,"There’s no place like home.",#FADADD
Tinker Bell,Creativity/Jealousy,Finding Self-Worth,Fiery / Loyal / Imaginative,"All you need is faith trust and a little bit of pixie dust.",#FADADD
Meg March,Family/Love,Balancing Dreams and Responsibility,Gentle / Mature / Devoted,"Just because my dreams are different doesn't mean they're unimportant.",#FADADD
Jo March,Ambition/Independence,Defying Gender Roles/Pursuing Passion,Creative / Independent / Strong,"I care more to be loved but I will dare to be great.",#FADADD
Elizabeth Bennet,Intellect/Pride,Challenging Social Expectations,Intelligent / Witty / Honest,"My courage always rises with every attempt to intimidate me.",#FADADD
Jane Eyre,Morality/Independence,Seeking Love and Self-Respect,Principled / Resilient / Passionate,"I am no bird and no net ensnares me.",#FADADD
Clarisse Renaldi (Princess Diaries),Duty/Family,Teaching Responsibility with Grace,Poised / Wise / Elegant,"A queen is never late. Everyone else is simply early.",#FADADD
Mia Thermopolis,Identity/Growth,Learning to Accept Her Role,Clumsy / Relatable / Kind,"Courage is not the absence of fear but the realization that something is more important.",#FADADD
Cleopatra,Leadership/Diplomacy,Maintaining Power Amid Empire Conflict,Intelligent / Charismatic / Strategic,"I will not be triumphed over.",#A7C7E7
Joan of Arc,Faith/Courage,Defending Her Country/Obeying Divine Vision,Brave / Devout / Determined,"I am not afraid... I was born to do this.",#A7C7E7
Queen Elizabeth I,Governance/Independence,Preserving Power in a Male World,Wise / Confident / Commanding,"Though the sex to which I belong is considered weak you will nevertheless find me a rock.",#A7C7E7
Marie Antoinette,Royalty/Legacy,Struggling Against Political Turmoil,Graceful / Misunderstood / Extravagant,"Let them eat cake.",#A7C7E7
Catherine the Great,Reform/Power,Modernizing Russia/Defending Her Rule,Visionary / Assertive / Intelligent,"Power without a nation's confidence is nothing.",#A7C7E7
Empress Wu Zetian,Politics/Authority,Proving Herself as China's Ruler,Ambitious / Ruthless / Intelligent,"Heaven raised me up for this duty.",#A7C7E7
Rani Lakshmibai,Rebellion/Patriotism,Fighting British Colonization,Fearless / Patriotic / Resilient,"I shall not surrender my Jhansi.",#A7C7E7
Queen Victoria,Tradition/Empire,Leading with Stability in Change,Dutiful / Composed / Influential,"We are not amused.",#A7C7E7
Harriet Tubman,Freedom/Activism,Rescuing Slaves/Leading the Underground Railroad,Courageous / Compassionate / Resolute,"I never ran my train off the track and I never lost a passenger.",#A7C7E7
Sojourner Truth,Equality/Justice,Fighting for Women's and Black Rights,Strong / Outspoken / Wise,"Ain’t I a woman?",#A7C7E7
Susan B. Anthony,Rights/Reform,Campaigning for Women’s Suffrage,Determined / Idealistic / Bold,"Failure is impossible.",#A7C7E7
Florence Nightingale,Medicine/Compassion,Revolutionizing Nursing and Care,Gentle / Analytical / Selfless,"How very little can be done under the spirit of fear.",#A7C7E7
Marie Curie,Science/Discovery,Pursuing Knowledge Despite Barriers,Brilliant / Humble / Tireless,"Nothing in life is to be feared it is only to be understood.",#A7C7E7
Ada Lovelace,Science/Imagination,Envisioning Computing Before Its Time,Visionary / Analytical / Creative,"The Analytical Engine weaves algebraic patterns just as the Jacquard loom weaves flowers and leaves.",#A7C7E7
Amelia Earhart,Exploration/Adventure,Proving Women's Capability in Aviation,Brave / Adventurous / Pioneering,"The most effective way to do it is to do it.",#A7C7E7
Frida Kahlo,Art/Identity,Transforming Pain into Expression,Creative / Resilient / Passionate,"I paint flowers so they will not die.",#A7C7E7
Malala Yousafzai,Education/Activism,Defending Girls’ Right to Learn,Brave / Hopeful / Inspiring,"One child one teacher one book one pen can change the world.",#A7C7E7
Rosa Parks,Civil Rights/Equality,Resisting Racial Segregation,Quiet / Strong / Courageous,"I would like to be remembered as a person who wanted to be free.",#A7C7E7
Indira Gandhi,Politics/Leadership,Defending Sovereignty/Managing Power,Decisive / Assertive / Patriotic,"You cannot shake hands with a clenched fist.",#A7C7E7
